feature_24,feature_4,feature_26,feature_5,feature_1,feature_8,feature_9,feature_25,feature_28,feature_20,feature_22,feature_12,feature_29,feature_3,feature_23,feature_15,feature_13,feature_2,feature_18,feature_10,feature_27,feature_16,feature_21,feature_14,feature_7,feature_6,feature_19,feature_30,feature_17,feature_11,diagnosis
2019.0,1001.0,0.6656,0.1184,17.99,0.1471,0.2419,0.1622,0.2654,0.006193,17.33,0.9053,0.4601,122.8,184.6,0.006399,8.589,10.38,0.01587,0.07871,0.7119,0.04904,25.38,153.4,0.3001,0.2776,0.03003,0.1189,0.05373,1.095,M
1956.0,1326.0,0.1866,0.08474,20.57,0.07017,0.1812,0.1238,0.186,0.003532,23.41,0.7339,0.275,132.9,158.8,0.005225,3.398,17.77,0.0134,0.05667,0.2416,0.01308,24.99,74.08,0.0869,0.07864,0.01389,0.08902,0.0186,0.5435,M
1709.0,1203.0,0.4245,0.1096,19.69,0.1279,0.2069,0.1444,0.243,0.004571,25.53,0.7869,0.3613,130.0,152.5,0.00615,4.585,21.25,0.02058,0.05999,0.4504,0.04006,23.57,94.03,0.1974,0.1599,0.0225,0.08758,0.03832,0.7456,M
567.7,386.1,0.8663,0.1425,11.42,0.1052,0.2597,0.2098,0.2575,0.009208,26.5,1.156,0.6638,77.58,98.87,0.00911,3.445,20.38,0.01867,0.09744,0.6869,0.07458,14.91,27.23,0.2414,0.2839,0.05963,0.173,0.05661,0.4956,M
1575.0,1297.0,0.205,0.1003,20.29,0.1043,0.1809,0.1374,0.1625,0.005115,16.67,0.7813,0.2364,135.1,152.2,0.01149,5.438,14.34,0.01885,0.05883,0.4,0.02461,22.54,94.44,0.198,0.1328,0.01756,0.07678,0.05688,0.7572,M
741.6,477.1,0.5249,0.1278,12.45,0.08089,0.2087,0.1791,0.1741,0.005082,23.75,0.8902,0.3985,82.57,103.4,0.00751,2.217,15.7,0.01137,0.07613,0.5355,0.03345,15.47,27.19,0.1578,0.17,0.02165,0.1244,0.03672,0.3345,M
1606.0,1040.0,0.2576,0.09463,18.25,0.074,0.1794,0.1442,0.1932,0.002179,27.66,0.7732,0.3063,119.6,153.2,0.004314,3.18,19.98,0.01039,0.05742,0.3784,0.01382,22.88,53.91,0.1127,0.109,0.01369,0.08368,0.02254,0.4467,M
897.0,577.9,0.3682,0.1189,13.71,0.05985,0.2196,0.1654,0.1556,0.005412,28.14,1.377,0.3196,90.2,110.6,0.008805,3.856,20.83,0.01448,0.07451,0.2678,0.03029,17.06,50.96,0.09366,0.1645,0.01486,0.1151,0.02488,0.5835,M
739.3,519.8,0.5401,0.1273,13.0,0.09353,0.235,0.1703,0.206,0.003749,30.73,1.002,0.4378,87.5,106.2,0.005731,2.406,21.82,0.01226,0.07389,0.539,0.03502,15.49,24.32,0.1859,0.1932,0.02143,0.1072,0.03553,0.3063,M
711.4,475.9,1.058,0.1186,12.46,0.08543,0.203,0.1853,0.221,0.01008,40.68,1.599,0.4366,83.97,97.65,0.007149,2.039,24.04,0.01432,0.08243,1.105,0.07217,15.09,23.94,0.2273,0.2396,0.01789,0.2075,0.07743,0.2976,M
