feature_24,feature_1,feature_5,feature_8,feature_4,feature_16,feature_7,feature_23,feature_22,feature_15,feature_26,feature_28,feature_25,feature_30,feature_20,feature_9,feature_13,feature_6,feature_12,feature_29,feature_14,feature_21,feature_18,feature_19,feature_2,feature_27,feature_17,feature_3,feature_11,feature_10,diagnosis
2019.0,17.99,0.1184,0.1471,1001.0,0.04904,0.3001,184.6,17.33,0.006399,0.6656,0.2654,0.1622,0.1189,0.006193,0.2419,8.589,0.2776,0.9053,0.4601,153.4,25.38,0.01587,0.03003,10.38,0.7119,0.05373,122.8,1.095,0.07871,M
1956.0,20.57,0.08474,0.07017,1326.0,0.01308,0.0869,158.8,23.41,0.005225,0.1866,0.186,0.1238,0.08902,0.003532,0.1812,3.398,0.07864,0.7339,0.275,74.08,24.99,0.0134,0.01389,17.77,0.2416,0.0186,132.9,0.5435,0.05667,M
1709.0,19.69,0.1096,0.1279,1203.0,0.04006,0.1974,152.5,25.53,0.00615,0.4245,0.243,0.1444,0.08758,0.004571,0.2069,4.585,0.1599,0.7869,0.3613,94.03,23.57,0.02058,0.0225,21.25,0.4504,0.03832,130.0,0.7456,0.05999,M
567.7,11.42,0.1425,0.1052,386.1,0.07458,0.2414,98.87,26.5,0.00911,0.8663,0.2575,0.2098,0.173,0.009208,0.2597,3.445,0.2839,1.156,0.6638,27.23,14.91,0.01867,0.05963,20.38,0.6869,0.05661,77.58,0.4956,0.09744,M
1575.0,20.29,0.1003,0.1043,1297.0,0.02461,0.198,152.2,16.67,0.01149,0.205,0.1625,0.1374,0.07678,0.005115,0.1809,5.438,0.1328,0.7813,0.2364,94.44,22.54,0.01885,0.01756,14.34,0.4,0.05688,135.1,0.7572,0.05883,M
741.6,12.45,0.1278,0.08089,477.1,0.03345,0.1578,103.4,23.75,0.00751,0.5249,0.1741,0.1791,0.1244,0.005082,0.2087,2.217,0.17,0.8902,0.3985,27.19,15.47,0.01137,0.02165,15.7,0.5355,0.03672,82.57,0.3345,0.07613,M
1606.0,18.25,0.09463,0.074,1040.0,0.01382,0.1127,153.2,27.66,0.004314,0.2576,0.1932,0.1442,0.08368,0.002179,0.1794,3.18,0.109,0.7732,0.3063,53.91,22.88,0.01039,0.01369,19.98,0.3784,0.02254,119.6,0.4467,0.05742,M
897.0,13.71,0.1189,0.05985,577.9,0.03029,0.09366,110.6,28.14,0.008805,0.3682,0.1556,0.1654,0.1151,0.005412,0.2196,3.856,0.1645,1.377,0.3196,50.96,17.06,0.01448,0.01486,20.83,0.2678,0.02488,90.2,0.5835,0.07451,M
739.3,13.0,0.1273,0.09353,519.8,0.03502,0.1859,106.2,30.73,0.005731,0.5401,0.206,0.1703,0.1072,0.003749,0.235,2.406,0.1932,1.002,0.4378,24.32,15.49,0.01226,0.02143,21.82,0.539,0.03553,87.5,0.3063,0.07389,M
711.4,12.46,0.1186,0.08543,475.9,0.07217,0.2273,97.65,40.68,0.007149,1.058,0.221,0.1853,0.2075,0.01008,0.203,2.039,0.2396,1.599,0.4366,23.94,15.09,0.01432,0.01789,24.04,1.105,0.07743,83.97,0.2976,0.08243,M
