k,inertia,cluster_rmse,silhouette_score
2,2565879.0,65.07014493895213,0.40598320960998535
3,2116439.5,59.09716086617228,0.2538575232028961
4,1846829.5,55.204831603250405,0.27019914984703064
5,1659236.875,52.32604174992144,0.23506416380405426
6,1547345.125,50.530929080409486,0.260212242603302
7,1445334.5,48.836875709272235,0.2478254735469818
8,1378850.5,47.700428279899214,0.24612776935100555
9,1338704.375,47.0008843221349,0.24804143607616425
10,1296485.25,46.25380637266944,0.23033298552036285
11,1252577.625,45.46382932868417,0.24773263931274414
12,1219324.625,44.85629097388674,0.24990896880626678
13,1179684.375,44.12112743503518,0.21679621934890747
14,1165066.5,43.84691528714443,0.20159143209457397
15,1143295.125,43.43530383008597,0.2289527952671051
