sample_index,cluster,true_label
4756,5,1
8446,2,6
3413,3,4
2973,5,1
1985,10,9
8515,0,6
3735,5,1
10224,8,10
9964,0,2
12966,1,7
5094,5,1
8190,0,6
11676,0,10
485,0,9
5838,7,1
8649,10,2
4790,4,1
8885,3,2
7519,10,6
2372,0,9
9500,6,2
1991,10,9
12791,1,8
380,10,9
9397,0,2
148,5,9
10181,8,10
11428,9,10
12346,1,3
3132,7,1
10945,8,10
6709,3,6
472,10,9
3408,4,4
3851,5,1
11648,0,10
7697,5,6
2170,10,9
2371,0,9
6109,4,1
10483,8,10
10184,8,10
3024,5,1
5887,4,1
5862,4,1
3798,4,1
12726,1,8
5472,5,1
12921,0,7
9303,10,2
1453,3,9
1637,0,9
3606,4,1
9489,3,2
11740,0,10
12268,1,3
8838,10,2
708,0,9
2057,10,9
5619,7,1
1639,10,9
2485,10,9
10571,9,10
3487,7,1
7168,2,6
10409,8,10
12459,0,3
5810,4,1
10710,9,10
6581,0,6
7714,10,6
3495,4,1
11939,9,10
4037,7,1
3839,0,1
12817,1,8
1478,3,9
6482,10,6
7390,10,6
8681,0,2
12573,1,3
6990,0,6
9509,4,2
2314,3,9
3139,3,1
1024,10,9
6652,10,6
12022,1,10
10473,9,10
8866,6,2
7547,10,6
1768,10,9
12893,0,7
1056,10,9
471,0,9
11923,7,10
11687,0,10
468,10,9
4644,7,1
7318,2,6
1086,10,9
7994,10,6
4017,7,1
565,10,9
2051,10,9
10132,1,10
13014,1,7
10038,8,10
2045,10,9
10200,8,10
8018,2,6
3900,7,1
838,10,9
6949,2,6
1514,3,9
3903,7,1
7816,10,6
9695,0,2
11759,0,10
3897,7,1
11546,1,10
10659,9,10
2545,10,9
1216,3,9
10836,9,10
9053,0,2
6054,5,1
253,10,9
4618,7,1
5188,7,1
5806,5,1
2885,4,4
7397,2,6
1986,5,9
9822,10,2
12097,1,3
3509,3,1
590,10,9
10119,8,10
10356,9,10
3923,7,1
6509,10,6
10526,8,10
3889,4,1
4561,5,1
9744,0,2
3397,4,4
7582,10,6
685,10,9
6255,2,6
1290,10,9
6426,0,6
156,10,9
8556,2,6
8026,0,6
6569,2,6
12576,0,3
10344,8,10
12130,9,3
10673,0,10
12797,1,8
10843,8,10
9158,6,2
12195,1,3
12383,1,3
11896,10,10
5223,7,1
5240,4,1
4175,7,1
12892,0,7
4811,4,1
11395,9,10
4372,7,0
3190,5,1
9890,5,2
3687,5,1
2123,0,9
10215,1,10
219,0,9
6615,10,6
878,10,9
9622,0,2
4299,5,1
4705,5,1
322,3,9
2515,0,9
6049,7,1
4078,5,1
11954,9,10
11929,10,10
7810,7,6
7687,0,6
8005,2,6
9522,6,2
39,0,9
10091,8,10
11698,0,10
5290,7,1
5325,5,1
1708,10,9
9307,0,2
1505,10,9
3399,3,1
7511,0,6
537,0,9
9165,3,2
12539,0,3
4629,7,1
9278,0,2
2730,10,9
2875,5,4
11005,8,10
10522,9,10
371,10,9
2370,10,9
4597,7,1
636,10,9
12873,1,7
497,3,9
11485,9,10
12389,1,3
3935,7,1
575,3,9
7249,0,6
10306,8,10
1808,0,9
2651,0,9
5363,0,0
2556,5,9
12679,0,8
1908,10,9
1915,10,9
135,10,9
2082,10,9
5596,0,0
11566,9,10
9083,0,2
4785,7,1
6678,0,6
73,0,9
3542,7,1
8206,0,6
8842,6,2
4297,7,1
3435,7,1
6586,3,6
12894,1,7
7939,6,6
6585,3,6
1959,10,9
5343,5,1
3627,5,1
5878,7,1
5972,10,0
10793,8,10
9434,5,2
9375,1,2
11482,8,10
8452,4,6
6857,5,6
1484,10,9
9901,0,2
11226,9,10
3152,5,1
11303,8,10
3852,5,1
12671,0,8
1419,3,9
3420,10,4
4143,7,1
7280,0,6
7960,3,6
3135,4,1
670,10,9
5898,10,1
455,10,9
8100,0,6
