feature_77,feature_47,feature_12,feature_18,feature_44,feature_62,feature_9,feature_32,feature_49,feature_40,feature_66,feature_2,feature_27,feature_31,feature_50,feature_45,diagnosis
1.67565235,1.443090669,0.306381721,2.308745322,0.182150472,0.247537821,0.232223754,3.037620642,0.354604528,0.394721292,1.044979186,0.747193224,0.264526295,0.453909789,1.339069956,0.84272515,0
1.743609645,1.439459795,0.299051088,2.043036519,0.182086309,0.257632205,0.226972108,2.921882488,0.354548277,0.368254577,1.009883059,0.689063548,0.25572702,0.430940286,1.306323088,0.847614612,0
1.926426587,1.52436418,0.291276067,2.017983547,0.18438769,0.255343022,0.230246795,2.944136216,0.386086771,0.363879855,0.996847617,0.730246795,0.259613545,0.423187297,1.279600342,0.856165847,0
1.700563438,1.612382051,0.296728655,2.132754174,0.161767701,0.251103116,0.207004208,2.500203611,0.290679519,0.366770734,0.990224696,0.61707615,0.259535768,0.410614904,1.19876451,0.760233521,0
1.839730218,1.645807259,0.286961192,2.013696791,0.16020025,0.25177305,0.192157916,2.456559688,0.309345015,0.35155096,0.997774997,0.617429838,0.250704982,0.398549752,1.206994855,0.768112919,0
1.816388575,1.634615385,0.289823901,1.968275306,0.162330317,0.244485294,0.195187525,2.467132679,0.332367081,0.347224089,0.920178167,0.62817583,0.250840167,0.391047184,1.12344457,0.77969457,0
1.528483858,1.773845525,0.299654305,2.01257071,0.145565999,0.238005721,0.195788812,2.288812068,0.266857376,0.360307982,1.028769922,0.573695789,0.261470773,0.405562539,1.03228443,0.70224765,0
1.652658228,1.795780591,0.283015971,1.85703317,0.147848101,0.241434599,0.18980344,2.281173219,0.288607595,0.338298526,0.943544304,0.564035627,0.250614251,0.375460688,1.152067511,0.681940928,0
1.834599448,1.805248619,0.266966357,1.822070766,0.150120856,0.236015193,0.180684455,2.139211137,0.294112569,0.312064965,0.94690953,0.538428074,0.230423434,0.351218097,1.107907459,0.710808011,0
1.516861511,1.926596223,0.324117053,1.783249243,0.14006295,0.244829137,0.188092836,1.922906155,0.24977518,0.358627649,0.970323741,0.499293643,0.257719475,0.380423814,0.930980216,0.637927158,0
1.613548092,1.902901531,0.290289884,1.756132171,0.144505369,0.250628284,0.185282789,1.957834989,0.275416952,0.341374417,0.940370117,0.513277924,0.266166633,0.418812082,0.899017592,0.662097327,0
1.722971374,2.001656021,0.27718885,1.690812721,0.142299503,0.249704282,0.190223793,1.887711033,0.287319612,0.330977621,0.911521173,0.499411072,0.243423636,0.368080094,0.967707594,0.675065058,0
1.426933702,1.904005525,0.272137325,1.737701486,0.12679558,0.277624309,0.171027842,1.749214988,0.244889503,0.32593678,0.997237569,0.482101737,0.273812016,0.366338706,0.944060773,0.589502762,0
1.500070314,1.972577697,0.284261809,1.686083457,0.134298973,0.252003938,0.179834781,1.770599449,0.254957109,0.329379369,0.980874701,0.485914001,0.239779708,0.367295065,0.929545774,0.611165799,0
1.613896848,1.959455587,0.266173752,1.655781475,0.12277937,0.249283668,0.176422263,1.710002054,0.269770774,0.30971452,0.942406877,0.46231259,0.230642842,0.356541384,0.903581662,0.626361032,0
1.297220427,0.94272786,0.355365818,1.711026056,0.201228184,0.233484163,0.19446489,2.620197262,0.294117647,0.523332843,1.177892696,0.862652731,0.272044752,0.421610481,1.347123465,0.908532644,0
1.363189369,0.963388704,0.331950207,1.525172891,0.187840532,0.235149502,0.174688797,2.422959889,0.380730897,0.474965422,1.115681063,0.807053942,0.246473029,0.389626556,1.150631229,0.893488372,0
1.404481451,0.975494178,0.326668505,1.521097628,0.183455185,0.237544002,0.171400993,2.415471594,0.400961278,0.457253172,1.044476036,0.802537231,0.24310535,0.393546608,1.176617926,0.885729759,0
1.170038136,0.9568065,0.358261843,1.654792988,0.205355662,0.229646825,0.190973517,2.328422231,0.283037639,0.497762029,1.09053225,0.770234987,0.274897426,0.416822081,1.188028519,0.890399602,0
1.272986338,0.97837566,0.306320908,1.333063209,0.168971587,0.22864806,0.16191248,2.00713128,0.353029922,0.4273906,1.020870003,0.678768233,0.229659643,0.364343598,1.092615875,0.85944179,0
1.279936226,1.000503482,0.324399582,1.403411069,0.166736595,0.227993623,0.174556213,2.112077967,0.362339515,0.432822833,1.047243434,0.716672468,0.234075879,0.382004873,1.113535286,0.857766216,0
1.178248401,0.954555482,0.343269679,1.671169073,0.1732848,0.237480697,0.182114578,2.078947368,0.243437017,0.505822077,1.178138098,0.69958081,0.274336283,0.424778761,1.105559232,0.804103243,0
1.219966159,0.963338973,0.34638009,1.516289593,0.159954879,0.236999436,0.176696833,2.043438914,0.323068246,0.484162896,1.118668923,0.690271493,0.263348416,0.411085973,0.988832487,0.768527919,0
1.246130031,0.937748784,0.317356419,1.347339527,0.15247678,0.231203008,0.168074324,1.910261824,0.312030075,0.421030405,0.979544449,0.641891892,0.226351351,0.378378378,0.982529854,0.717713401,0
1.077480186,0.98305548,0.334244329,1.393823449,0.165345723,0.245285597,0.178190763,1.766329598,0.251571468,0.491117792,1.154413774,0.561355562,0.26591965,0.376878929,1.017627767,0.787100301,0
1.144377729,0.929039301,0.402782169,1.531773633,0.15010917,0.255049127,0.202023396,2.034144799,0.29121179,0.562440721,1.068367904,0.701865318,0.296553905,0.46095479,0.895469432,0.746724891,0
1.238457207,0.958333333,0.317565772,1.216848259,0.152730856,0.244650901,0.178049429,1.705022588,0.313907658,0.450969971,1.027167793,0.583045442,0.243954292,0.395163433,0.926238739,0.740990991,0
0.981414396,0.902031816,0.301407589,1.260097919,0.156717593,0.245077965,0.1624847,1.421052632,0.170105528,0.480110159,1.103323358,0.540085679,0.237760098,0.365361077,0.711608127,0.704835407,0
0.994403582,0.853693636,0.300252845,1.213021492,0.135913016,0.233290694,0.162136536,1.512958281,0.232651103,0.474399494,1.030060761,0.564791403,0.236409608,0.389380531,0.699712184,0.684521906,0
1.030948092,0.890453578,0.280798771,1.125960061,0.142459473,0.235467496,0.169892473,1.421198157,0.239233666,0.459293395,1.009988538,0.556374808,0.224270353,0.366513057,0.770754871,0.62682168,0
1.649982724,0.605804827,0.348666917,1.603736388,0.248877042,0.303667506,0.232256853,2.747559144,0.676686905,0.488265115,1.180117479,0.954187007,0.271216673,0.442921517,1.951280912,1.223801767,0
1.63898847,0.61268288,0.353873908,1.854728447,0.248037981,0.320414688,0.259020129,2.801842005,0.637341343,0.506551462,1.066127313,0.962020509,0.27535131,0.46268515,2.060217033,1.216306559,0
1.564924819,0.603165027,0.361690088,1.956427426,0.236124002,0.313996659,0.258794681,2.856078468,0.590310006,0.539469961,1.063393354,0.9671791,0.283127417,0.459964161,2.21111008,1.200436235,0
1.68222208,0.724477402,0.337290417,1.661240974,0.230262737,0.292143451,0.209154326,2.418431037,0.598989964,0.467751805,1.291056703,0.812018113,0.267531514,0.406926937,1.787828422,1.15195295,0
1.660352255,0.731500253,0.34853052,1.861592565,0.236061835,0.313862139,0.218538056,2.564556644,0.576849975,0.496232102,1.157121135,0.863727707,0.275558905,0.422381311,1.919602129,1.149328434,0
1.61081609,0.73362632,0.359515485,1.983516484,0.227919185,0.318195691,0.221028971,2.576048951,0.529756455,0.529220779,1.186595862,0.861763237,0.281593407,0.43031968,2.113593359,1.118903742,0
1.727380518,0.776267785,0.326992211,1.594967046,0.214976286,0.303265232,0.190832834,2.225134811,0.577617658,0.460155782,1.26286027,0.721090473,0.258388256,0.393499101,1.63954761,1.084002189,0
1.650846275,0.740359449,0.363776612,1.849892009,0.207468156,0.320799162,0.200401111,2.366244986,0.520851509,0.491977785,1.269499215,0.748071583,0.271058315,0.415303919,1.720642122,1.026522422,0
1.555326991,0.748350047,0.345336024,1.995498991,0.206994086,0.312676781,0.195405867,2.387552382,0.485214708,0.529411765,1.214451016,0.773863107,0.285115629,0.413161571,1.952687066,1.070797977,0
1.655576382,0.785731022,0.347693481,1.685093404,0.202085286,0.313378632,0.208921083,2.191574533,0.551077788,0.479603507,1.380974695,0.736370568,0.288600839,0.417460923,1.508669166,0.983950328,0
1.681702521,0.815752949,0.352086086,1.856333774,0.197085357,0.330326162,0.20841986,2.240513498,0.52475133,0.492920521,1.48912792,0.735699453,0.286766094,0.425901454,1.643881564,0.995373583,0
1.585792952,0.780726872,0.360990361,1.997731998,0.194162996,0.331057269,0.208278208,2.207900208,0.442951542,0.524853525,1.375330396,0.737478737,0.295785296,0.425817426,1.828414097,0.99030837,0
1.615575808,0.785832643,0.353463993,1.623518687,0.185584093,0.308478321,0.220601641,2.076800365,0.529549848,0.477666363,1.352112676,0.685278031,0.276891522,0.384229717,1.381386357,0.934824634,0
1.561913696,0.778745645,0.356897735,1.767787692,0.182792817,0.333556687,0.244566461,2.132692748,0.482980434,0.489132922,1.426159207,0.697323267,0.289407458,0.382292382,1.434870008,0.951755562,0
1.530457516,0.775163399,0.368907942,1.915388087,0.179869281,0.331633987,0.199232852,2.082581227,0.442745098,0.527075812,1.357385621,0.684115523,0.287454874,0.420126354,1.701699346,0.934901961,0
1.680398751,0.900372328,0.333296764,1.586725178,0.247357675,0.311554168,0.198354361,2.662314866,0.534110017,0.478551838,1.244535191,0.763027976,0.256609984,0.414810752,2.181299544,1.327948595,0
1.720906651,0.874500447,0.332648649,1.745405405,0.255174471,0.334685356,0.205081081,2.665513514,0.521085595,0.478594595,1.251297346,0.749621622,0.25372973,0.41372973,2.286489711,1.365404116,0
1.645763881,0.848373376,0.338608958,1.940245478,0.248361881,0.307793999,0.210594315,2.683677864,0.519772388,0.507859604,1.168640074,0.77002584,0.257536606,0.42118863,2.539889642,1.31641568,0
1.699259836,0.925126607,0.327054556,1.601646435,0.236384885,0.309154655,0.190037673,2.538161016,0.50377873,0.471885029,1.322399688,0.695549044,0.266499233,0.408120553,1.813167121,1.193611219,0
1.705363309,0.910764981,0.334214922,1.730094655,0.229033991,0.316274074,0.198496659,2.542455457,0.498810711,0.486219376,1.228420164,0.689170379,0.2655902,0.415089087,1.93708279,1.231489296,0
