feature,weight_score
17.99,3.184421545141583
10.38,4.2701729504796635
122.8,20.581539924963653
1001.0,181.93728235059947
0.1184,0.018694689305436343
0.2776,0.023265891429797098
0.3001,0.022249207334699206
0.1471,0.014898556921709674
0.2419,0.03474798653632232
0.07871,0.013628930305382252
1.095,0.08614495396993957
0.9053,0.2207375346622691
8.589,0.5549247576196801
153.4,16.1854161757053
0.006399,0.0007769596460851925
0.04904,0.005299001081952725
0.05373,0.007010304842144066
0.01587,0.002284853784037303
0.03003,0.003995752122042779
0.006193,0.0006623288707671882
25.38,3.5970963416110373
17.33,5.489858176901789
184.6,22.37666825859428
2019.0,227.68399341043465
0.1622,0.02582171825225262
0.6656,0.052446009335630164
0.7119,0.05418572973245568
0.2654,0.033593226616943424
0.4601,0.06392655828341613
0.1189,0.02177542830629657
