feature,feature_name,avg_weight_score
F24,feature_24,0.2807528
F1,feature_1,0.22422443
F5,feature_5,0.21630645
F8,feature_8,0.2120743
F4,feature_4,0.20461868
F16,feature_16,0.20271228
F7,feature_7,0.20229302
F23,feature_23,0.20037143
F22,feature_22,0.19894871
F15,feature_15,0.19581895
F26,feature_26,0.1953667
F28,feature_28,0.19504617
F25,feature_25,0.18889944
F30,feature_30,0.18023069
F20,feature_20,0.18003
F9,feature_9,0.17976685
F13,feature_13,0.17612983
F6,feature_6,0.1737969
F12,feature_12,0.17188537
F29,feature_29,0.16753346
F14,feature_14,0.16044855
F21,feature_21,0.16024454
F18,feature_18,0.15717646
F19,feature_19,0.14415462
F2,feature_2,0.14374018
F27,feature_27,0.14331189
F17,feature_17,0.1394152
F3,feature_3,0.13374823
F11,feature_11,0.13279574
F10,feature_10,0.11472858
