k,inertia,cluster_rmse,silhouette_score
2,4974.8603515625,2.5451292205761065,0.19626379013061523
3,4335.7421875,2.3760255974997317,0.19500406086444855
4,3912.55908203125,2.2570950293230583,0.18468765914440155
5,3677.72314453125,2.1883103096015426,0.18181391060352325
6,3478.6630859375,2.1282643694995036,0.1370985060930252
7,3307.12744140625,2.0751278328489517,0.13239096105098724
8,3154.04248046875,2.026530568840175,0.1393222063779831
9,2996.48193359375,1.9752643327835548,0.14741414785385132
10,2897.8115234375,1.9424706144004455,0.14464695751667023
11,2793.580322265625,1.9072163951555243,0.14274664223194122
12,2743.7734375,1.890138001155328,0.12100829929113388
13,2645.970703125,1.8561450247831779,0.12489863485097885
14,2599.947265625,1.8399315210398144,0.12899594008922577
15,2532.822265625,1.8160246855056472,0.12696795165538788
