feature_10,feature_30,feature_7,feature_26,feature_28,feature_25,feature_5,feature_15,feature_4,feature_8,feature_27,feature_16,feature_21,feature_9,feature_22,feature_12,feature_2,feature_24,target
0.07871,0.1189,0.3001,0.6656,0.2654,0.1622,0.1184,0.006399,1001.0,0.1471,0.7119,0.04904,25.38,0.2419,17.33,0.9053,10.38,2019.0,1
0.05667,0.08902,0.0869,0.1866,0.186,0.1238,0.08474,0.005225,1326.0,0.07017,0.2416,0.01308,24.99,0.1812,23.41,0.7339,17.77,1956.0,1
0.05999,0.08758,0.1974,0.4245,0.243,0.1444,0.1096,0.00615,1203.0,0.1279,0.4504,0.04006,23.57,0.2069,25.53,0.7869,21.25,1709.0,1
0.09744,0.173,0.2414,0.8663,0.2575,0.2098,0.1425,0.00911,386.1,0.1052,0.6869,0.07458,14.91,0.2597,26.5,1.156,20.38,567.7,1
0.05883,0.07678,0.198,0.205,0.1625,0.1374,0.1003,0.01149,1297.0,0.1043,0.4,0.02461,22.54,0.1809,16.67,0.7813,14.34,1575.0,1
0.07613,0.1244,0.1578,0.5249,0.1741,0.1791,0.1278,0.00751,477.1,0.08089,0.5355,0.03345,15.47,0.2087,23.75,0.8902,15.7,741.6,1
0.05742,0.08368,0.1127,0.2576,0.1932,0.1442,0.09463,0.004314,1040.0,0.074,0.3784,0.01382,22.88,0.1794,27.66,0.7732,19.98,1606.0,1
0.07451,0.1151,0.09366,0.3682,0.1556,0.1654,0.1189,0.008805,577.9,0.05985,0.2678,0.03029,17.06,0.2196,28.14,1.377,20.83,897.0,1
0.07389,0.1072,0.1859,0.5401,0.206,0.1703,0.1273,0.005731,519.8,0.09353,0.539,0.03502,15.49,0.235,30.73,1.002,21.82,739.3,1
0.08243,0.2075,0.2273,1.058,0.221,0.1853,0.1186,0.007149,475.9,0.08543,1.105,0.07217,15.09,0.203,40.68,1.599,24.04,711.4,1
0.05697,0.08452,0.03299,0.1551,0.09975,0.1181,0.08206,0.004029,797.8,0.03323,0.1459,0.009269,19.19,0.1528,33.88,1.187,23.24,1150.0,1
0.06082,0.1048,0.09954,0.5609,0.181,0.1396,0.0971,0.005771,781.0,0.06606,0.3965,0.04061,20.42,0.1842,27.28,0.9849,17.89,1299.0,1
0.078,0.1023,0.2065,0.3903,0.1767,0.1037,0.0974,0.003139,1123.0,0.1118,0.3639,0.08297,20.96,0.2397,29.94,3.568,24.8,1332.0,1
0.05338,0.06287,0.09938,0.1924,0.1119,0.1131,0.08401,0.009769,782.7,0.05364,0.2322,0.03126,16.84,0.1847,27.66,1.078,23.95,876.5,1
0.07682,0.1431,0.2128,0.7725,0.2208,0.1651,0.1131,0.006429,578.3,0.08025,0.6943,0.05936,15.03,0.2069,32.01,1.169,22.61,697.7,1
0.07077,0.1341,0.1639,0.6577,0.1712,0.1678,0.1139,0.005607,658.8,0.07364,0.7026,0.0424,17.46,0.2303,37.13,1.033,27.54,943.2,1
0.05922,0.08216,0.07395,0.1871,0.1609,0.1464,0.09867,0.005718,684.5,0.05259,0.2914,0.01162,19.07,0.1586,30.88,1.24,20.13,1138.0,1
0.07356,0.1142,0.1722,0.4233,0.2073,0.1789,0.117,0.007026,798.8,0.1028,0.4784,0.02501,20.96,0.2164,31.48,1.073,20.68,1315.0,1
0.05395,0.07615,0.1479,0.315,0.2388,0.1512,0.09831,0.006494,1260.0,0.09498,0.5372,0.01893,27.32,0.1582,30.88,1.017,22.15,2398.0,1
0.05766,0.07259,0.06664,0.1773,0.1288,0.144,0.09779,0.008462,566.3,0.04781,0.239,0.0146,15.11,0.1885,19.26,0.7886,14.36,711.2,0
0.06811,0.08183,0.04568,0.2776,0.07283,0.1312,0.1075,0.004097,520.0,0.0311,0.189,0.01898,14.5,0.1967,20.49,0.7477,15.71,630.5,0
0.06905,0.07773,0.02956,0.1148,0.06227,0.1324,0.1024,0.009606,273.9,0.02076,0.08867,0.01432,10.23,0.1815,15.66,0.9768,12.44,314.9,0
0.07032,0.09946,0.2077,0.5954,0.2393,0.139,0.1073,0.006789,704.4,0.09756,0.6305,0.05328,18.07,0.2521,19.08,0.7096,14.26,980.9,1
0.05278,0.07526,0.1097,0.26,0.2009,0.1401,0.09428,0.004728,1404.0,0.08632,0.3155,0.01259,29.17,0.1769,35.59,1.127,23.04,2615.0,1
0.0633,0.09564,0.1525,0.3578,0.2095,0.1805,0.1121,0.006048,904.6,0.0917,0.4695,0.01882,26.46,0.1995,31.56,0.9017,21.38,2215.0,1
0.07413,0.1059,0.2229,0.3949,0.255,0.1545,0.1186,0.008029,912.7,0.1401,0.3853,0.03799,22.25,0.304,21.4,0.976,16.4,1461.0,1
0.06924,0.1275,0.1425,0.6643,0.2701,0.1525,0.1054,0.004452,644.8,0.08783,0.5539,0.03055,17.62,0.2252,33.21,0.9832,21.53,896.9,1
0.05699,0.07421,0.149,0.2117,0.149,0.1338,0.0944,0.01075,1094.0,0.07731,0.3446,0.02722,21.31,0.1697,27.26,1.849,20.25,1403.0,1
0.0654,0.09876,0.1683,0.611,0.2024,0.1641,0.1082,0.005233,732.4,0.08751,0.6335,0.03057,20.27,0.1926,36.71,1.012,25.27,1269.0,1
0.06149,0.07919,0.09875,0.2812,0.1456,0.1255,0.09847,0.005627,955.1,0.07953,0.2489,0.03033,20.01,0.1739,19.52,0.8225,15.05,1227.0,1
0.06197,0.09782,0.2319,0.4257,0.1848,0.1491,0.1064,0.006248,1088.0,0.1244,0.6133,0.03374,23.15,0.2183,34.01,1.466,25.11,1670.0,1
0.07799,0.1402,0.1218,0.5775,0.1546,0.1637,0.1109,0.005551,440.6,0.05182,0.6956,0.03414,16.82,0.2301,28.12,1.03,18.7,888.7,1
0.06382,0.08482,0.2417,0.3559,0.1847,0.1634,0.1197,0.008268,899.3,0.1203,0.5588,0.03082,20.88,0.2248,32.09,1.398,23.98,1344.0,1
0.06261,0.1123,0.1657,0.659,0.1785,0.1509,0.09401,0.005015,1162.0,0.07593,0.6091,0.03318,24.15,0.1853,30.9,0.6062,26.47,1813.0,1
0.06515,0.1233,0.1354,0.5804,0.1864,0.1446,0.104,0.004185,807.2,0.07752,0.5274,0.02868,20.21,0.1998,27.26,0.6857,17.88,1261.0,1
0.05656,0.08633,0.1348,0.3835,0.1813,0.1563,0.0961,0.005776,869.5,0.06018,0.5409,0.02499,20.01,0.1896,29.02,0.9197,21.59,1229.0,1
0.06125,0.1014,0.1319,0.4238,0.1447,0.1446,0.09823,0.005878,633.0,0.05598,0.5186,0.02995,15.89,0.1885,30.36,1.019,21.72,799.6,1
0.05863,0.06169,0.02562,0.04619,0.05013,0.09701,0.08983,0.004352,523.8,0.02923,0.04833,0.004899,13.3,0.1467,22.81,2.342,18.42,545.9,0
0.05504,0.05504,0.02398,0.05131,0.02899,0.09387,0.09387,0.006883,698.8,0.02899,0.02398,0.01094,14.99,0.1565,25.2,2.188,25.2,698.8,1
0.06419,0.1071,0.1063,0.4225,0.2258,0.161,0.1016,0.005367,559.2,0.05439,0.503,0.02239,15.53,0.172,26.02,0.5914,20.82,740.4,1
0.05587,0.07146,0.0311,0.2043,0.1112,0.1094,0.08162,0.00328,563.0,0.02031,0.2085,0.01102,15.93,0.1784,30.25,0.8265,21.58,787.9,1
0.0687,0.09606,0.1044,0.2698,0.1424,0.1909,0.1227,0.008064,371.1,0.05669,0.4023,0.01764,12.84,0.1895,35.34,1.428,21.35,514.0,1
0.06343,0.1038,0.2107,0.7444,0.2493,0.1247,0.09081,0.006548,1104.0,0.09961,0.7242,0.1006,24.09,0.231,33.17,1.666,24.81,1651.0,1
0.06782,0.1027,0.09847,0.3724,0.1492,0.153,0.1041,0.005072,545.2,0.06158,0.3664,0.02147,17.38,0.1974,28.0,0.8249,20.28,907.2,1
0.06177,0.09618,0.08259,0.3904,0.1607,0.1503,0.09714,0.00335,531.5,0.05252,0.3728,0.01384,16.23,0.1746,29.89,0.6123,21.81,740.7,1
0.06049,0.09185,0.1974,0.509,0.2378,0.1679,0.1099,0.006294,1076.0,0.1009,0.7345,0.03994,22.82,0.1907,21.32,0.6633,17.6,1567.0,1
0.06503,0.07409,0.01588,0.1357,0.02564,0.1297,0.086,0.008968,201.9,0.005917,0.0688,0.01646,8.964,0.1769,21.96,0.9567,16.84,242.2,0
0.06777,0.1179,0.1226,0.4166,0.2088,0.1786,0.1158,0.006532,534.6,0.0734,0.5006,0.02336,15.67,0.2128,27.95,0.8937,18.66,759.4,1
0.06043,0.08301,0.06592,0.2156,0.06548,0.1494,0.1031,0.005488,449.3,0.02749,0.305,0.01427,13.76,0.1675,20.7,0.7294,14.63,582.6,0
0.05718,0.06917,0.04751,0.1711,0.1282,0.1162,0.08752,0.004455,561.0,0.03384,0.2282,0.01382,15.15,0.1809,31.82,1.353,22.3,698.8,0
0.05888,0.06563,0.01657,0.08615,0.03715,0.1085,0.08637,0.005857,427.9,0.01115,0.05523,0.009758,12.98,0.1495,25.72,1.21,21.6,516.5,0
0.05953,0.08025,0.01857,0.1582,0.08586,0.1089,0.07685,0.004477,571.8,0.01723,0.105,0.01177,14.67,0.1353,23.19,0.9234,16.34,656.7,0
0.0611,0.07408,0.01972,0.08906,0.06296,0.1144,0.08261,0.00721,437.6,0.01349,0.09203,0.00838,13.1,0.1868,21.33,0.6329,18.24,527.2,0
0.0631,0.07987,0.1772,0.2297,0.1325,0.128,0.1148,0.003899,1033.0,0.106,0.2623,0.02961,20.6,0.2092,24.13,1.593,18.7,1321.0,1
0.05684,0.07873,0.05253,0.2057,0.153,0.1389,0.09056,0.004675,712.8,0.03334,0.2712,0.0103,18.1,0.1616,31.69,0.8339,22.02,1030.0,1
0.05907,0.07036,0.03036,0.0872,0.06316,0.1249,0.09524,0.008328,409.0,0.02278,0.09076,0.008722,12.84,0.192,22.47,0.9591,18.75,506.2,0
0.05961,0.08294,0.1323,0.3511,0.2091,0.1624,0.1053,0.006458,1152.0,0.08994,0.3879,0.02306,26.14,0.1917,28.14,1.193,18.57,2145.0,1
0.06758,0.1094,0.1293,0.429,0.1834,0.1368,0.1137,0.003659,656.9,0.08123,0.3587,0.02855,17.87,0.2027,30.7,1.15,21.59,985.5,1
0.05501,0.06289,0.000692,0.06191,0.01111,0.1021,0.0806,0.007491,527.2,0.004167,0.001845,0.008593,14.23,0.1819,22.25,1.214,19.31,624.1,0
0.07187,0.09026,0.02061,0.1239,0.04419,0.1733,0.09752,0.01011,224.5,0.007799,0.1168,0.01055,9.507,0.1683,15.4,0.5796,11.79,274.9,0
0.0696,0.0802,0.01084,0.09866,0.02579,0.1275,0.1134,0.007514,311.9,0.0129,0.02168,0.01099,11.02,0.2743,17.45,1.441,14.88,368.6,0
0.06757,0.07712,0.03,0.1698,0.02778,0.1639,0.1243,0.01193,221.8,0.009259,0.09001,0.03162,9.565,0.1828,27.04,2.067,20.98,273.9,0
0.07292,0.1132,0.2135,0.6247,0.1785,0.164,0.1049,0.009407,645.7,0.08653,0.6922,0.07056,17.67,0.1949,29.51,1.268,22.15,959.5,1
0.06963,0.0849,0.05988,0.1678,0.05087,0.09836,0.07721,0.008738,260.9,0.0218,0.1397,0.03938,10.01,0.2341,19.23,2.265,13.86,310.1,0
0.0659,0.1031,0.1128,0.4061,0.1716,0.1851,0.1122,0.007781,499.0,0.06873,0.4024,0.02648,17.09,0.1905,33.47,1.178,23.84,888.3,1
0.06654,0.08911,0.1267,0.3416,0.1614,0.1648,0.1172,0.006703,668.3,0.09029,0.3024,0.0231,17.31,0.1953,33.39,1.281,23.94,925.1,1
0.06899,0.09211,0.02172,0.1664,0.06517,0.1548,0.1044,0.01052,269.4,0.01504,0.09412,0.01755,10.41,0.1717,31.56,2.011,21.01,330.7,0
0.05667,0.06641,0.03709,0.09148,0.06961,0.129,0.08139,0.009282,394.1,0.0223,0.1444,0.009216,12.33,0.1516,23.84,0.9429,19.04,466.7,0
0.08046,0.1175,0.313,0.4365,0.175,0.1482,0.1066,0.009549,250.5,0.04375,1.252,0.08606,10.31,0.2111,22.65,1.194,17.33,324.7,0
0.05653,0.0641,0.03653,0.07061,0.05882,0.1296,0.09831,0.007962,502.5,0.02864,0.1039,0.005612,13.46,0.159,19.76,0.8732,16.49,554.9,0
0.05461,0.06589,0.108,0.2336,0.1789,0.1193,0.09009,0.004444,1130.0,0.07951,0.2687,0.01652,24.86,0.1582,26.58,0.7975,21.31,1866.0,1
0.0898,0.1084,0.08606,0.2436,0.04786,0.1207,0.09783,0.01721,244.0,0.02872,0.1434,0.09368,9.733,0.1902,15.67,0.8522,14.64,284.4,0
0.06487,0.1339,0.1692,0.7394,0.1899,0.1585,0.1071,0.00582,929.4,0.07944,0.6566,0.05616,23.32,0.1927,33.82,1.041,24.52,1681.0,1
0.06566,0.103,0.07789,0.3542,0.1383,0.1411,0.1007,0.004717,584.1,0.05069,0.2779,0.02065,16.57,0.1662,20.86,0.6205,15.79,812.4,1
0.05914,0.07609,0.03372,0.1843,0.0866,0.1176,0.09172,0.004854,470.9,0.02272,0.1703,0.01819,14.11,0.172,23.21,1.025,16.52,611.1,0
0.05391,0.06387,0.09769,0.2045,0.152,0.15,0.09168,0.01082,817.7,0.06638,0.2829,0.02203,19.77,0.1798,24.56,1.016,19.65,1223.0,1
0.06641,0.07191,0.06877,0.1379,0.07407,0.1451,0.1291,0.0134,559.2,0.06556,0.08539,0.02839,14.08,0.2403,12.49,1.014,10.94,605.5,0
0.06673,0.1108,0.1684,0.5634,0.2102,0.1478,0.1065,0.00794,1006.0,0.108,0.3786,0.05839,22.39,0.2152,18.91,0.5505,16.15,1610.0,1
0.08142,0.09964,0.3754,0.6164,0.2508,0.1639,0.1286,0.01038,1245.0,0.1604,0.7681,0.06835,23.37,0.2906,31.72,1.885,23.97,1623.0,1
0.05997,0.07918,0.03889,0.2141,0.07926,0.1289,0.09934,0.005293,506.3,0.02315,0.1731,0.01661,14.24,0.1718,24.82,1.095,18.0,622.1,0
0.07005,0.08851,0.04591,0.1676,0.06127,0.1557,0.1102,0.01037,401.5,0.02233,0.1755,0.01706,13.11,0.1842,32.16,2.174,20.97,525.1,0
0.06902,0.1016,0.1169,0.4791,0.1708,0.1536,0.1078,0.006794,520.0,0.06987,0.4858,0.03575,15.53,0.1942,23.19,1.016,15.86,614.9,0
0.06782,0.1051,0.3339,0.6076,0.2867,0.1573,0.1063,0.008166,1878.0,0.1845,0.6476,0.05693,30.0,0.1829,33.62,1.474,24.91,2562.0,1
0.07224,0.09203,0.1937,0.2817,0.1841,0.1392,0.1215,0.007545,1132.0,0.1469,0.2432,0.0605,20.33,0.1634,32.72,2.91,26.29,1298.0,1
0.05968,0.07924,0.04151,0.2003,0.07632,0.1377,0.09723,0.005969,443.3,0.01863,0.2267,0.01812,13.67,0.2079,24.9,1.255,15.65,567.9,0
0.06022,0.08579,0.1335,0.2089,0.1642,0.1398,0.09874,0.006471,1075.0,0.08795,0.3157,0.01649,22.93,0.2132,27.68,1.475,18.52,1603.0,1
0.05636,0.06846,0.1204,0.1976,0.1225,0.1306,0.09444,0.009369,648.2,0.04938,0.3349,0.02983,16.21,0.2075,29.25,2.22,21.46,808.9,1
